1. prediction - ensemble,2. prediction - ensemble,1. prediction - model,1. prediction - number of classificators,1. prediction - voting,2. prediction - model,2. prediction - number of classificators,2. prediction - voting,stat,p,rozkład
RandomSubspace,RandomSubspace,DecisionTreeClassifier(),5,vector,GaussianNB(),15,vector,0.0,1.2992794047032903e-99,Różny
RandomSubspace,RandomSubspace,DecisionTreeClassifier(),5,majority,GaussianNB(),15,vector,0.0,2.0458224449059953e-99,Różny
RandomSubspace,RandomSubspace,DecisionTreeClassifier(),5,vector,GaussianNB(),5,vector,188.5,4.005835710193695e-99,Różny
RandomSubspace,RandomSubspace,DecisionTreeClassifier(),5,vector,GaussianNB(),10,vector,188.5,4.005835710193695e-99,Różny
RandomSubspace,RandomSubspace,DecisionTreeClassifier(),5,majority,GaussianNB(),10,vector,188.0,6.3002556208241086e-99,Różny
RandomSubspace,RandomSubspace,DecisionTreeClassifier(),5,majority,GaussianNB(),5,vector,188.0,6.3002556208241086e-99,Różny
RandomSubspace,RandomSubspace,KNeighborsClassifier(),15,vector,DecisionTreeClassifier(),5,vector,183.5,1.79123938105028e-96,Różny
RandomSubspace,RandomSubspace,KNeighborsClassifier(),15,vector,DecisionTreeClassifier(),5,majority,183.0,2.8176576894774617e-96,Różny
RandomSubspace,RandomSubspace,KNeighborsClassifier(),10,vector,DecisionTreeClassifier(),5,vector,1674.0,2.1027423752893927e-92,Różny
RandomSubspace,RandomSubspace,KNeighborsClassifier(),10,vector,DecisionTreeClassifier(),5,majority,1669.5,3.2859917756402886e-92,Różny
RandomSubspace,RandomSubspace,DecisionTreeClassifier(),5,vector,GaussianNB(),15,majority,3324.0,3.429407252555525e-92,Różny
RandomSubspace,RandomSubspace,DecisionTreeClassifier(),5,majority,GaussianNB(),15,majority,3315.5,5.3082783490782316e-92,Różny
RandomSubspace,RandomSubspace,KNeighborsClassifier(),15,majority,DecisionTreeClassifier(),5,vector,2208.0,9.106402649782346e-91,Różny
RandomSubspace,RandomSubspace,KNeighborsClassifier(),15,majority,DecisionTreeClassifier(),5,majority,2202.0,1.4155879749313464e-90,Różny
RandomSubspace,RandomSubspace,DecisionTreeClassifier(),10,vector,GaussianNB(),15,vector,0.0,1.9527283540756716e-89,Różny
RandomSubspace,RandomSubspace,DecisionTreeClassifier(),10,majority,GaussianNB(),15,vector,0.0,1.9527283540756716e-89,Różny
RandomSubspace,RandomSubspace,DecisionTreeClassifier(),10,majority,GaussianNB(),10,vector,172.0,3.4031028745658425e-89,Różny
RandomSubspace,RandomSubspace,DecisionTreeClassifier(),10,vector,GaussianNB(),10,vector,172.0,3.4031028745658425e-89,Różny
RandomSubspace,RandomSubspace,DecisionTreeClassifier(),10,vector,GaussianNB(),5,vector,344.0,7.871025056687102e-89,Różny
RandomSubspace,RandomSubspace,DecisionTreeClassifier(),10,majority,GaussianNB(),5,vector,344.0,7.871025056687102e-89,Różny
RandomSubspace,RandomSubspace,DecisionTreeClassifier(),15,vector,GaussianNB(),15,vector,0.0,8.000104466046672e-89,Różny
RandomSubspace,RandomSubspace,DecisionTreeClassifier(),15,majority,GaussianNB(),15,vector,0.0,8.000104466046672e-89,Różny
RandomSubspace,RandomSubspace,DecisionTreeClassifier(),15,vector,GaussianNB(),10,vector,178.5,1.4710932507413462e-88,Różny
RandomSubspace,RandomSubspace,DecisionTreeClassifier(),15,majority,GaussianNB(),10,vector,178.5,1.4710932507413462e-88,Różny
